city_name,psgc,year,poi_count,large_water_m,small_water_m,building_area_m2,gray_zones_area_m2,green_zones_area_m2,poi_per_km2,large_water_m_per_km2,small_water_m_per_km2,building_coverage_ratio,gray_zones_coverage_ratio,green_zones_coverage_ratio
City of Bislig,1606803000,2024,13.0,206212.74539047567,34154.15861730613,183243.54679182888,1384718.8368942423,1666973.9935003466,0.031340579619803396,497.14053580988065,82.33931749946747,0.00044176607446496014,0.0033382993045173504,0.004018763935956865
City of Bislig,1606803000,2025,13.0,206214.0602319868,34154.15861730613,217411.8879695224,1494685.745735396,1666973.9935003466,0.031340579619803396,497.14370564796275,82.33931749946747,0.0005241395834769686,0.0036034090477542607,0.004018763935956865
City of Biñan,403403000,2022,26.0,39646.105922899216,33223.46119642078,3716825.8052704497,16980905.488334265,712033.4611180888,0.6915371917142528,1054.4906443202894,883.6638098000105,0.0988585876718382,0.45165106516030074,0.018938370004160873
City of Biñan,403403000,2023,27.0,42808.96302396218,33321.98217351668,3816903.3215180617,17196533.49949655,1059582.1123980917,0.7181347760109548,1138.6150026842342,886.2842297933121,0.10152040784643862,0.4573862493639198,0.02818232455378585
City of Biñan,403403000,2024,27.0,42821.36122623878,33472.177481111816,3915543.228436709,17293198.758925743,1275346.9724147697,0.7181347760109548,1138.9447649144138,890.2790621480428,0.10414399108572618,0.45995731175015037,0.033921148606345555
City of Biñan,403403000,2025,29.0,42821.5479152138,33471.85382696064,4043595.108395829,18158531.380821846,1272696.6375741006,0.7713299446043589,1138.949730390164,890.2704537294741,0.10754986175729003,0.48297306910571813,0.033850656102006375
City of Bogo,702211000,2022,18.0,16043.628568364928,7541.336382101408,1576508.217511697,5024083.668738456,3421526.847512877,0.18883536169571657,168.31135575660682,79.11505463239922,0.01653891663722726,0.05270692537643162,0.03589473665564995
City of Bogo,702211000,2023,18.0,15401.447188755688,8183.51776171065,1578340.9875233844,5100581.013115393,3421526.847512877,0.18883536169571657,161.57432502923098,85.85208535977509,0.016558143958786267,0.0535094478038861,0.03589473665564995
City of Bogo,702211000,2024,18.0,15401.447188755688,8182.348128698772,1567390.2553024206,5100581.013115393,3421360.913297304,0.18883536169571657,161.57432502923098,85.83981491128345,0.016443261432131897,0.0535094478038861,0.035892995864115755
City of Bogo,702211000,2025,15.0,15401.447188755688,8182.348128698772,1587656.7747125253,5160663.105910439,3421360.913297304,0.15736280141309714,161.57432502923098,85.83981491128345,0.016655874516749696,0.054139760233018766,0.035892995864115755
City of Borongan,802604000,2022,17.0,317899.6284136593,76757.84969273132,1016560.0981943512,6847232.156620317,56832322.0329733,0.026876766812201573,502.5949519152618,121.3531074822093,0.0016071675711622536,0.010825380116617196,0.08985112156918641
City of Borongan,802604000,2023,17.0,339666.8687120862,98247.04767937334,1307465.804759738,6793282.114186794,56831049.591982335,0.026876766812201573,537.0086602473781,155.32723473328042,0.0020670855029091147,0.010740085839558714,0.08984910985743368
City of Borongan,802604000,2024,17.0,339667.566083522,98242.4036557214,1313812.4635100742,6855239.807122107,56830903.01699525,0.026876766812201573,537.0097627820522,155.31989259558844,0.0020771194833367266,0.01083804010222015,0.08984887812438966
City of Borongan,802604000,2025,23.0,292088.15993774246,215067.12426396203,1394505.1076222735,7057570.689430577,37907333.240358844,0.03636268451062566,461.78737430892596,340.01817340078156,0.0022046934468228177,0.01115792245179143,0.059930973880796594
City of Butuan,1630400000,2022,59.0,449307.180820824,153535.56745292942,6832212.216061261,11224294.91909868,3182993.650004433,0.09077520227105561,691.2872918787806,236.22410493798253,0.01051178721816505,0.01726928206154516,0.004897235464519288
City of Butuan,1630400000,2023,59.0,439169.1185316157,154177.71971151658,6831645.841413062,11441687.73953968,3181388.309523612,0.09077520227105561,675.689246879807,237.21209648310227,0.010510915815228587,0.0176037545572707,0.004894765547453856
City of Butuan,1630400000,2024,58.0,442254.0592770319,150229.94492269307,6836240.262557577,11670496.834021548,3488517.600496541,0.08923663952069873,680.4356217977625,231.13819724622044,0.01051798462046099,0.01795579170698339,0.005367303234088323
